date,title,file,link
18.08.2022,Phone Call with President Andrzej Duda of Poland,PresSpeechEN83.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139156/phone-call-with-president-andrzej-duda-of-poland
17.08.2022,Phone Call with Prime Minister Yair Lapid of Israel,PresSpeechEN84.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139135/phone-call-with-prime-minister-yair-lapid-of-israel
16.08.2022,President Erdoğan to Visit Ukraine,PresSpeechEN85.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139116/president-erdogan-to-visit-ukraine
05.01.2023,Phone Call with President Volodymyr Zelenskyy of Ukraine,PresSpeechEN86.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142442/phone-call-with-president-volodymyr-zelenskyy-of-ukraine
05.01.2023,Phone Call with President Putin of Russia,PresSpeechEN87.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142426/phone-call-with-president-putin-of-russia
31.12.2022,President Erdoğan’s Message on New Year,PresSpeechEN88.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142370/president-erdogan-s-message-on-new-year
29.12.2022,President Đukanović of Montenegro to visit Türkiye,PresSpeechEN89.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142333/president-ukanovi-of-montenegro-to-visit-turkiye
24.12.2022,President Erdoğan’s Message on Christmas ,PresSpeechEN90.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142262/president-erdogan-s-message-on-christmas-
20.12.2022,President Macky Sall of Senegal to Visit Türkiye,PresSpeechEN91.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142189/president-macky-sall-of-senegal-to-visit-turkiye
18.12.2022,President Erdoğan’s Message on Hanukkah,PresSpeechEN92.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142148/president-erdogan-s-message-on-hanukkah
17.12.2022,President Erdoğan to Visit Qatar,PresSpeechEN93.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142142/president-erdogan-to-visit-qatar
12.12.2022,President Erdoğan to Visit Turkmenistan,PresSpeechEN94.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142077/president-erdogan-to-visit-turkmenistan
10.12.2022,President Erdoğan’s Message on Human Rights Day,PresSpeechEN95.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142056/president-erdogan-s-message-on-human-rights-day
08.12.2022,President Radev of Bulgaria to visit Türkiye,PresSpeechEN96.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142014/president-radev-of-bulgaria-to-visit-turkiye
24.11.2022,Prime Minister Shehbaz Sharif of Pakistan to Visit Türkiye,PresSpeechEN97.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141828/prime-minister-shehbaz-sharif-of-pakistan-to-visit-turkiye
22.11.2022,President Díaz-Canel of Cuba to Visit Türkiye,PresSpeechEN98.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141766/president-d-az-canel-of-cuba-to-visit-turkiye
19.11.2022,President Erdoğan to Visit Qatar ,PresSpeechEN99.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141742/president-erdogan-to-visit-qatar-
18.11.2022,Phone Call with President Ersin Tatar of the Turkish Republic of Northern Cyprus (TRNC),PresSpeechEN100.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141838/phone-call-with-president-ersin-tatar-of-the-turkish-republic-of-northern-cyprus-trnc-
18.11.2022,Phone Call with President Volodymyr Zelenskyy of Ukraine,PresSpeechEN101.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141837/phone-call-with-president-volodymyr-zelenskyy-of-ukraine
18.11.2022,Phone Call with President Vladimir Putin of Russia,PresSpeechEN102.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141836/phone-call-with-president-vladimir-putin-of-russia
12.11.2022,President Erdoğan to Visit Indonesia,PresSpeechEN103.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141666/president-erdogan-to-visit-indonesia
09.11.2022,President Erdoğan to Visit Uzbekistan,PresSpeechEN104.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141589/president-erdogan-to-visit-uzbekistan
06.11.2022,Prime Minister Kristersson of Sweden to Visit Türkiye,PresSpeechEN105.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141523/prime-minister-kristersson-of-sweden-to-visit-turkiye
04.11.2022,Phone Call with UN Secretary-General Guterres,PresSpeechEN106.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141479/phone-call-with-un-secretary-general-guterres
02.11.2022,Phone Call with President Zelensky of Ukraine,PresSpeechEN107.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141471/phone-call-with-president-zelensky-of-ukraine
01.11.2022,Phone Call with President Putin of Russia,PresSpeechEN108.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141469/phone-call-with-president-putin-of-russia
01.11.2022,Phone Call with Chancellor Scholz of Germany,PresSpeechEN109.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141470/phone-call-with-chancellor-scholz-of-germany
29.10.2022,President Erdoğan’s Message on 29 October Republic Day,PresSpeechEN110.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141392/president-erdogan-s-message-on-29-october-republic-day
24.10.2022,President Erdoğan’s Message on the 77th Anniversary of the Establishment of the UN,PresSpeechEN111.txt,https://www.tccb.gov.tr/en/speeches-statements/558/140336/president-erdogan-s-message-on-the-77th-anniversary-of-the-establishment-of-the-un
19.10.2022,President Erdoğan to Visit Azerbaijan,PresSpeechEN112.txt,https://www.tccb.gov.tr/en/speeches-statements/558/140232/president-erdogan-to-visit-azerbaijan
13.10.2022,Qatar Emir Sheikh Tamim to Visit Türkiye,PresSpeechEN113.txt,https://www.tccb.gov.tr/en/speeches-statements/558/140144/qatar-emir-sheikh-tamim-to-visit-turkiye
11.10.2022,President Erdoğan to Visit Kazakhstan ,PresSpeechEN114.txt,https://www.tccb.gov.tr/en/speeches-statements/558/140095/president-erdogan-to-visit-kazakhstan-
07.10.2022,Phone Call with President Putin of Russia,PresSpeechEN115.txt,https://www.tccb.gov.tr/en/speeches-statements/558/140074/phone-call-with-president-putin-of-russia
06.10.2022,President Erdoğan to Visit Czech Republic,PresSpeechEN116.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139990/president-erdogan-to-visit-czech-republic
25.09.2022,President Erdoğan’s Message on Rosh Hashanah,PresSpeechEN117.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139834/president-erdogan-s-message-on-rosh-hashanah
14.09.2022,President Erdoğan to Visit Uzbekistan and the U.S.,PresSpeechEN118.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139598/president-erdogan-to-visit-uzbekistan-and-the-u-s-
05.09.2022,"President Erdoğan to Visit Bosnia and Herzegovina, Serbia and Croatia",PresSpeechEN119.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139406/president-erdogan-to-visit-bosnia-and-herzegovina-serbia-and-croatia
29.08.2022,Message on August 30 Victory Day,PresSpeechEN120.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139273/message-on-august-30-victory-day
22.08.2022,President Mahmoud Abbas of Palestine to Visit Türkiye,PresSpeechEN121.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139203/president-mahmoud-abbas-of-palestine-to-visit-turkiye
19.08.2022,Phone Call with President Isaac Herzog of Israel,PresSpeechEN122.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139158/phone-call-with-president-isaac-herzog-of-israel
18.08.2022,Phone Call with President Andrzej Duda of Poland,PresSpeechEN123.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139156/phone-call-with-president-andrzej-duda-of-poland
17.08.2022,Phone Call with Prime Minister Yair Lapid of Israel,PresSpeechEN124.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139135/phone-call-with-prime-minister-yair-lapid-of-israel
16.08.2022,President Erdoğan to Visit Ukraine,PresSpeechEN125.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139116/president-erdogan-to-visit-ukraine
05.01.2023,Phone Call with President Volodymyr Zelenskyy of Ukraine,PresSpeechEN126.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142442/phone-call-with-president-volodymyr-zelenskyy-of-ukraine
05.01.2023,Phone Call with President Putin of Russia,PresSpeechEN127.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142426/phone-call-with-president-putin-of-russia
31.12.2022,President Erdoğan’s Message on New Year,PresSpeechEN128.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142370/president-erdogan-s-message-on-new-year
29.12.2022,President Đukanović of Montenegro to visit Türkiye,PresSpeechEN129.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142333/president-ukanovi-of-montenegro-to-visit-turkiye
24.12.2022,President Erdoğan’s Message on Christmas ,PresSpeechEN130.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142262/president-erdogan-s-message-on-christmas-
20.12.2022,President Macky Sall of Senegal to Visit Türkiye,PresSpeechEN131.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142189/president-macky-sall-of-senegal-to-visit-turkiye
18.12.2022,President Erdoğan’s Message on Hanukkah,PresSpeechEN132.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142148/president-erdogan-s-message-on-hanukkah
17.12.2022,President Erdoğan to Visit Qatar,PresSpeechEN133.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142142/president-erdogan-to-visit-qatar
12.12.2022,President Erdoğan to Visit Turkmenistan,PresSpeechEN134.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142077/president-erdogan-to-visit-turkmenistan
10.12.2022,President Erdoğan’s Message on Human Rights Day,PresSpeechEN135.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142056/president-erdogan-s-message-on-human-rights-day
08.12.2022,President Radev of Bulgaria to visit Türkiye,PresSpeechEN136.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142014/president-radev-of-bulgaria-to-visit-turkiye
24.11.2022,Prime Minister Shehbaz Sharif of Pakistan to Visit Türkiye,PresSpeechEN137.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141828/prime-minister-shehbaz-sharif-of-pakistan-to-visit-turkiye
