title,url,date
"ASELSAN Konya Silah Sistemleri Fabrikası, Büyükşehir Yatırımları ve Afşar Barajı ile Yapımı Tamamlanan Diğer Tesislerin Toplu Açılış Töreni (Mevlana Meydanı)",https://www.tccb.gov.tr/assets/video/2022B/2022-11-26-konya-01-acilis.mp4,26.11.2022
"Cumhurbaşkanı Erdoğan, Konya’da gençlerle bir araya geldi",https://www.tccb.gov.tr/assets/video/2022B/2022-11-26-konya-03-genclik.mp4,26.11.2022
"“Kalkınma planlarımızın merkezine ‘güçlü kadın, güçlü aile, güçlü Türkiye’ ilkesini yerleştirdik”",https://www.tccb.gov.tr/assets/video/2022B/2022-11-25-mucadele.mp4,25.11.2022
“Pakistan’la savunma sanayii alanındaki ilişkilerimizi taçlandıran en önemli iş birliği projelerimiz arasında MİLGEM yer alıyor”,https://www.tccb.gov.tr/assets/video/2022B/2022-11-25-pakistan-01-milgem.mp4,25.11.2022
“Güney Asya’da istikrarın temininde önemli rol oynayan Pakistan’la birçok başarılı iş birliği projemiz bulunuyor”,https://www.tccb.gov.tr/assets/video/2022B/2022-11-25-pakistan-02-bt.mp4,25.11.2022
Öğretmenler Günü Münasebetiyle 81 İlden Gelen Öğretmenler ile Yemek (Sergi Salonu),https://www.tccb.gov.tr/assets/video/2022B/2022-11-24-ogretmen.mp4,24.11.2022
“Türkiye’nin menfaatleri neyi gerektiriyorsa ona göre hareket ediyoruz”,https://www.tccb.gov.tr/assets/video/2022B/2022-11-23-akparti.mp4,23.11.2022
"Emine Erdoğan, UNICEF Türkiye Temsilcisi Dominicis ile bir araya geldi",https://www.tccb.gov.tr/assets/video/2022B/2022-11-23-ee-unicef.mp4,23.11.2022
"Cumhurbaşkanı Recep Tayyip Erdoğan ve Küba Cumhuriyeti Devlet Başkanı Miguel Mario Díaz-Canel Bermúdez, Cumhurbaşkanlığı Külliyesindeki baş başa ve heyetler arası görüşmeler ile anlaşmaların imza töreninin ardından ortak basın toplantısı düzenledi.",https://www.tccb.gov.tr/assets/video/2022B/2022-11-23-kuba-03-bt.mp4,23.11.2022
"Emine Erdoğan, Uluslararası Çocuk Forumu Kapanış Programı’na katıldı",https://www.tccb.gov.tr/assets/video/2022B/2022-11-22-ee-cocuk.mp4,22.11.2022
"Cumhurbaşkanı Erdoğan, Almanya Başbakanı Scholz ile bir araya geldi",https://www.tccb.gov.tr/assets/video/2022B/2022-11-16-endonezya-almanya.mp4,16.11.2022
"Cumhurbaşkanı Erdoğan, Suudi Arabistan Veliaht Prensi Muhammed bin Selman ile görüştü",https://www.tccb.gov.tr/assets/video/2022B/2022-11-14-endonezya-04-arabistan.mp4,14.11.2022
"Cumhurbaşkanı Erdoğan, ABD Başkanı Biden ile görüştü",https://www.tccb.gov.tr/assets/video/2022B/2022-11-15-endonezya-abd.mp4,15.11.2022
"Emine Erdoğan, G20 Liderler Zirvesi için bulunduğu Endonezya’da lider eşleriyle bir araya geldi",https://www.tccb.gov.tr/assets/video/2022B/2022-11-15-endonezya-ee-widoda.mp4,15.11.2022
"Cumhurbaşkanı Erdoğan, İtalya Başbakanı Meloni ile görüştü",https://www.tccb.gov.tr/assets/video/2022B/2022-11-15-endonezya-italya.mp4,15.11.2022
"Emine Erdoğan, Güney Kore Devlet Başkanı YeoI’un eşi Kim Kun-hee ile bir araya geldi",https://www.tccb.gov.tr/assets/video/2022B/2022-11-15-endonezya-ee-guneykore.mp4,15.11.2022
"Emine Erdoğan, İspanya Başbakanı Sanchez’in eşi Maria Begona Gomez ile bir araya geldi",https://www.tccb.gov.tr/assets/video/2022B/2022-11-15-endonezya-ee-ispanya.mp4,15.11.2022
Cumhurbaşkanı Erdoğan Endonezya’da,https://www.tccb.gov.tr/assets/video/2022B/2022-11-14-endonezya-01-varis.mp4,14.11.2022
"Cumhurbaşkanı Erdoğan, Endonezya Devlet Başkanı Widodo ile bir araya geldi",https://www.tccb.gov.tr/assets/video/2022B/2022-11-14-endonezya-02-basbakan.mp4,14.11.2022
"Cumhurbaşkanı Recep Tayyip Erdoğan, Kastamonu'nun Bozkurt, Abana, Cide ve İnebolu ilçelerine Doğal Gaz Verme Töreni’ne Vahdettin Köşkü'nden canlı bağlantıyla katılarak bir konuşma yaptı.",https://www.tccb.gov.tr/assets/video/2022B/2022-11-12-kastamonu.mp4,12.11.2022
"Türk Devletleri Teşkilatı Zirvesi'ne katılan liderlerin eşleri, ""Sıfır Atık İyi Niyet Beyanı""nı imzaladı",https://www.tccb.gov.tr/assets/video/2022B/2022-11-11-ozbekistan-08-ee-sifiratik.mp4,11.11.2022
"Cumhurbaşkanı Erdoğan, Türk Devletleri Teşkilatı Devlet Başkanları 9. Zirvesi’ne katıldı",https://www.tccb.gov.tr/assets/video/2022B/2022-11-11-ozbekistan-05-zirve.mp4,11.11.2022
"Cumhurbaşkanı Recep Tayyip Erdoğan, Özbekistan ziyareti öncesi Esenboğa Havalimanı’nda basın toplantısı düzenleyerek açıklamalarda bulundu.",https://www.tccb.gov.tr/assets/video/2022B/2022-11-10-ozbekistan-01-bt.mp4,10.11.2022
"Cumhurbaşkanı Recep Tayyip Erdoğan, Türkiye Cumhuriyeti’nin kurucusu Mustafa Kemal Atatürk’ün vefatının 84. yılı nedeniyle Anıtkabir’de düzenlenen anma törenine katıldı.",https://www.tccb.gov.tr/assets/video/2022B/2022-11-10-anitkabir.mp4,10.11.2022
"Cumhurbaşkanı Erdoğan, Özbekistan Cumhurbaşkanı Mirziyoyev ile bir araya geldi",https://www.tccb.gov.tr/assets/video/2022B/2022-11-10-ozbekistan-02-cb.mp4,10.11.2022
Cumhurbaşkanı Erdoğan’a Özbekistan’da Yüksek Düzeyli İmam Buhari Nişanı takdim edildi,https://www.tccb.gov.tr/assets/video/2022B/2022-11-10-ozbekistan-03-nisan.mp4,10.11.2022
"Cumhurbaşkanı Erdoğan, Azerbaycan Cumhurbaşkanı Aliyev ile bir araya geldi",https://www.tccb.gov.tr/assets/video/2022B/2022-11-10-ozbekistan-04-aliyev.mp4,10.11.2022
"Cumhurbaşkanı Erdoğan, MHP Genel Başkanı Bahçeli’yi kabul etti",https://www.tccb.gov.tr/assets/video/2022B/2022-11-09-devletbahceli.mp4,09.11.2022
"Cumhurbaşkanı Recep Tayyip Erdoğan, Hasankeyf-Gercüş Tüneli Açılış Töreni'ne Cumhurbaşkanlığı Külliyesinden canlı bağlantı ile katılarak bir konuşma yaptı.",https://www.tccb.gov.tr/assets/video/2022B/2022-11-08-tunel.mp4,08.11.2022
"Emine Erdoğan, törende yaptığı konuşmada, Ostim İlkokulu'nun çatısı altında birlikte olmaktan büyük mutluluk duyduğunu ifade etti.",https://www.tccb.gov.tr/assets/video/2022B/2022-11-08-ee-okul.mp4,08.11.2022
"Cumhurbaşkanı Recep Tayyip Erdoğan ve İsveç Başbakanı Ulf Kristersson, Cumhurbaşkanlığı Külliyesindeki baş başa ve heyetler arası görüşmelerinin ardından ortak basın toplantısı düzenledi.",https://www.tccb.gov.tr/assets/video/2022B/2022-11-08-isvec-03-bt.mp4,08.11.2022
