video_filename,url,title,length_seconds,publish_date,description,keywords,date,date_src,transcription_filename
video_414.mp4,https://www.youtube.com/watch?v=hAu2CMmxyVs,"Cumhurbaşkanımız Erdoğan, Kültür ve Turizm Bakanlığı Özel Ödülleri Töreni'nde konuştu",879,2019-01-10 00:00:00,,[],10.01.2019,live_stream,
video_415.mp4,https://www.youtube.com/watch?v=Blqtu5SKgJc,"Cumhurbaşkanımız Erdoğan, Yerel Yönetimler Sempozyumu'nda konuştu",2375,2019-01-09 00:00:00,,[],09.01.2019,live_stream,
video_416.mp4,https://www.youtube.com/watch?v=L0HbEqsHINk,"Cumhurbaşkanımız Erdoğan, Manisa'da fabrika açılışında konuştu",108,2019-01-05 00:00:00,,[],05.01.2019,live_stream,
video_417.mp4,https://www.youtube.com/watch?v=C9yXxIYzCfU,İzmir Belediye Başkan Adaylarımız Tanıtım Programı..#TevazuSamimiyetGayret,5542,2019-01-05 00:00:00,,[],05.01.2019,live_stream,
video_418.mp4,https://www.youtube.com/watch?v=7TsBb4UXfkY,"Cumhurbaşkanımız Erdoğan, Aday ve Aday Adayları Buluşma Programı’nda konuştu",1940,2019-01-02 00:00:00,,[],02.01.2019,live_stream,
video_419.mp4,https://www.youtube.com/watch?v=FCx6FViwO78,"Cumhurbaşkanımız Erdoğan, Ankara Belediye Başkan Adayları Tanıtım Programı'nda konuştu",5691,2019-01-01 00:00:00,,[],01.01.2019,live_stream,
video_420.mp4,https://www.youtube.com/watch?v=x4YkESEWi8c,"Cumhurbaşkanımız Erdoğan, İstanbul Belediye Başkan Adayları Tanıtım Programı'nda konuştu",6167,2018-12-29 00:00:00,,[],29.12.2018,live_stream,
video_421.mp4,https://www.youtube.com/watch?v=9kYTvbibiJI,"Cumhurbaşkanımız Erdoğan, TÜBİTAK ve TÜBA Ödül Töreni'nde konuştu",2124,2018-12-26 00:00:00,,[],26.12.2018,live_stream,
video_422.mp4,https://www.youtube.com/watch?v=Xm-h2wigf8w,"Cumhurbaşkanımız Erdoğan, Arnavutköy Toplu Açılış Töreni'nde konuştu",2089,2018-12-23 00:00:00,,[],23.12.2018,live_stream,
video_423.mp4,https://www.youtube.com/watch?v=tfQh0qdGBE8,"Cumhurbaşkanımız Erdoğan, DEİK 2018 Yılı Mali Genel Kurulu’nda konuştu",1837,2018-12-23 00:00:00,,[],23.12.2018,live_stream,
